delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,action
16749901,5149,1465,764,857,908,791,1138,forward
1347845,159850,24064,16748224,25424,23212,7350,9383,forward
2317524,104472,67635,8851,73323,27266,7157,3355,forward
217867,87881,2290,19094,8106,4556,9212,3742,forward
142114,16772449,5561,16749727,11963,20535,6377,3610,forward
685298,90101,20524,43177,16754225,21227,4138,5245,forward
297720,16745287,19607,85305,10479,30743,9229,8953,forward
180287,37970,19498,16755815,17278,10843,16341,4344,forward
80453,16748827,3840,3230,3740,4083,8648,462,forward
30017,25340,15659,16755286,16287,24361,8955,4886,forward
32423,23082,14395,22882,23239,12832,9276,1749,forward
476876,58467,16771841,16772995,76158,25624,25761,4317,forward
269517,72265,3153,13316,4181,7412,4795,1790,forward
985107,383834,6398,11815,9043,12063,14701,11905,forward
510317,8913,3347,6576,6701,7594,8731,2896,forward
1392929,656703,67689,141823,16760510,16754260,20207,8482,forward
578450,102159,23257,29814,4463,13048,16886,13752,forward
239679,111293,24010,16747055,11189,13356,19171,4280,forward
616957,321439,11105,95569,83404,16747854,22456,21635,forward
125178,11508,2604,3329,2044,2835,1140,242,forward
1427683,62308,23805,16761403,16773887,16762409,32479,24031,forward
1956626,50268,67122,23746,16749659,31730,16746065,6736,forward
107051,134455,19977,17454,13806,9444,11276,1748,forward
250206,68827,11283,7739,5475,5137,10201,3101,forward
790983,303003,9723,16753079,21475,29077,9641,9912,forward
775701,196154,19634,16744566,19425,16749215,27776,17067,forward
296212,54547,20545,21062,3645,7277,4406,1159,forward
280886,282366,19960,24875,8893,7782,11251,9679,forward
866585,139070,16755431,16751673,16752720,16755577,16744755,6228,forward
575977,103214,20045,16759674,16761891,29176,21906,10027,forward
271768,57933,23878,7862,4693,4843,4579,2057,forward
159802,101125,8205,11676,9340,5840,9060,4007,forward
1677936,1103319,330024,138503,16773779,16745882,16763981,7875,forward
1199411,158403,32023,86138,25418,16748193,25113,14259,forward
619599,69810,8924,7550,8073,6962,7664,2964,forward
963594,45719,18172,18582,5900,13799,12686,1747,forward
2155962,307091,170855,143486,29107,16771935,16760928,24474,forward
474695,142656,16746746,7409,14479,8057,16260,6549,forward
1302890,168717,4491,25004,7917,6513,12707,4372,forward
552226,37173,95633,16749261,26479,18715,18283,14844,forward
1020061,246456,10648,50368,21487,17728,22557,15083,forward
1309162,620171,19062,16764870,11694,22556,22902,5683,forward
1015322,91501,16775533,16745015,16755205,22238,10023,5113,forward
59995,11245,8803,665,3986,3046,1157,543,forward
75353,2456,1705,707,4524,3670,701,627,forward
697320,44633,13032,29655,18625,8344,17941,2401,forward
1234556,153379,16767600,13753,18469,21834,5511,1625,forward
1180672,296807,30948,16757525,28055,67424,25965,7509,forward
197667,14374,13898,6664,3137,7141,1508,363,forward
75624,241548,13617,10616,6832,9824,3416,1275,forward
76220,31560,7211,23707,11447,16630,6969,8321,forward
