delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,action
16746607,16748917,16020,25613,12800,14223,16668,9240,forward
16747370,23099,6177,31099,11906,22081,8171,4198,forward
31923,32407,13098,17313,11965,10281,9348,2552,forward
445243,20330,11176,16762909,20773,17746,10903,10024,forward
182242,80127,16749088,16747021,16596,31044,15657,7806,forward
742724,16755017,10568,16766425,12160,14777,25625,15009,forward
134576,16744749,3801,5039,1587,5709,6060,1024,forward
604704,657636,30578,22922,9629,9196,8043,10539,forward
16768934,10410,7284,16774631,25787,7046,11727,4362,forward
198812,10635,3338,8542,11958,4166,1460,1248,forward
520179,87559,16259,28244,16745628,21786,19611,10927,forward
7604,16768069,1849,16762261,16745890,18927,15866,4094,forward
16746255,16749680,11311,20295,12449,9458,12482,4793,forward
102912,71415,21557,16745657,8884,14220,11650,1654,forward
333963,94140,16764430,12569,16744425,10203,16750033,12758,forward
16756804,16744546,9063,16751356,13151,14076,5498,5721,forward
75866,18667,7326,16755409,11242,11459,8231,3101,forward
368084,87059,30125,22760,10300,17100,16362,11355,forward
275102,15975,16765536,5070,9841,18493,12480,9794,forward
56743,109785,11577,16776686,6790,9511,7268,6934,forward
1652279,109699,16748695,20983,32416,17919,13278,7799,forward
605219,131608,2347,22278,12106,24581,16929,11248,forward
148948,89829,28175,10023,12378,11586,15392,7664,forward
698724,49402,7270,16756341,20296,20191,8798,12513,forward
31771,31638,19669,16766753,2192,5799,6039,6041,forward
91187,26464,11224,16751681,10977,13676,9603,1614,forward
16765510,17456,16752,16771738,6446,10436,23987,9086,forward
31307,16753059,7505,18372,16625,9832,9131,16051,forward
65488,9871,359,3554,6622,1495,6070,1077,forward
26081,12455,28824,16746983,13356,12656,6004,1502,forward
16765672,93828,7392,16748910,13190,6673,18709,5807,forward
93669,16754872,20768,16745589,6703,31623,14334,3986,forward
93773,82247,15262,29825,5154,17575,8534,5156,forward
16768058,22616,1913,4286,7179,3426,1177,1314,forward
16763693,73741,12898,20436,21479,10695,16950,21973,forward
481992,95363,7845,25366,11280,24295,29098,11174,forward
28028,28924,12884,16762275,12192,14420,4557,3448,forward
93841,16765681,6571,16748758,8854,11154,2895,4942,forward
181405,16765242,79641,16749253,17926,14617,11075,3935,forward
954329,16750786,7493,13212,4703,8127,6631,2774,forward
