delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,action
83111,19354,2348,9121,3949,1897,140,296,down
228141,17020,7455,4778,10651,2706,143,176,down
883451,104169,41424,10956,14414,17050,5601,490,down
77570,64960,9515,26865,6957,3982,6543,3431,down
328375,233395,16288,17512,13226,8121,3446,1435,down
28838,25329,94389,5377,28559,7093,3234,1553,down
62822,30019,7403,6167,3109,13290,2580,1312,down
22992,16751779,10280,5409,10386,12158,2814,1841,down
41382,79774,21077,9325,1717,1320,970,16777099,down
66521,12688,15504,15090,5905,8527,3242,3230,down
16770098,16762613,20480,2637,2305,714,981,367,down
16764907,16750562,13185,2742,6833,4425,1404,2144,down
62223,16746728,26584,13438,20889,5143,3594,2893,down
86724,25357,9513,11086,11239,12634,1498,1559,down
16763041,16766059,19581,18673,8887,6610,5104,1922,down
16760914,25786,5620,5224,11128,12309,5613,1008,down
10203,16773914,31689,9214,5750,8574,1505,922,down
71199,28322,8863,6834,4767,10814,2355,711,down
16753150,26963,18492,6231,5272,7464,2940,891,down
16756955,15857,5297,13084,8062,8308,1606,1311,down
16746448,16748845,8956,14330,10811,7369,1456,2221,down
42577,15629,5251,11614,13700,4388,2293,801,down
13724,13499,8759,8102,6585,5835,2981,892,down
16755860,16774469,3958,18769,5838,4745,1771,1313,down
16774824,28016,27102,10129,5760,9567,2936,1992,down
16756052,16751154,16753025,6584,6814,3418,2128,1623,down
16746676,68563,19025,24404,6503,5872,9005,1159,down
40050,21091,18667,30384,4396,3999,4267,1038,down
16744602,21019,16753065,4848,6029,7147,2681,1630,down
28300,12781,16236,29895,4359,3220,4590,385,down
66960,15359,6291,6758,5236,5230,2275,1720,down
16770654,16752379,4531,11877,11975,11198,3890,1513,down
1913365,52348,68717,72277,16746860,23538,20870,9330,down
1139287,68409,27645,10276,24505,3905,6468,6472,down
148380,39523,26019,15434,3385,5967,3944,1037,down
25908,27264,7159,26368,15698,14660,2594,1895,down
46842,74490,66853,16749699,18395,8905,2623,1095,down
16748123,29028,25299,2525,5718,16993,3093,1910,down
16764092,31166,16748246,21641,12002,7222,1800,652,down
30375,21282,16745541,26453,13333,7354,5178,1838,down
16776004,13758,10638,17334,12841,6466,2570,1312,down
17009,8314,16000,26535,4738,7551,6027,1412,down
84512,17366,18665,16760018,5140,5967,3896,1649,down
38590,29364,8127,4350,3107,2777,2409,625,down
16756035,19914,3961,14862,3728,9787,1243,2367,down
11446,13731,12796,19494,13238,6952,3473,2076,down
6815,31270,13020,22285,5771,5644,3002,1215,down
68729,12764,14012,11091,8013,9567,1865,480,down
44058,16748304,32223,7150,7685,8492,6904,739,down
3641,25280,5585,8253,4673,8153,1772,2681,down
16753392,16010,5302,14794,11749,5500,3370,464,down
64007,35695,16744805,12479,15875,5377,2951,1673,down
947724,220942,16746042,16757296,16744448,21053,4089,1934,down
69506,28459,25395,7990,3721,8702,2543,441,down
191375,23555,4992,1903,2170,1573,129,351,down
20179,16763490,21127,3365,10205,6477,1601,1947,down
153770,16774983,27505,16746789,8757,7341,5074,2491,down
2288694,107376,16766104,16758041,22596,8107,3040,2711,down
5,2,0,0,0,1,0,0,down
4,3,1,1,1,1,1,0,down
393778,120370,29345,16760742,15933,4788,5645,5674,down
31728,13429,6613,4186,8019,13334,10999,2270,down
445603,93100,1052,2982,8300,2728,1164,381,down
30414,29848,12776,15753,8345,9941,6628,2314,down
150453,8751,2393,2307,3586,9774,5255,5582,down
16766543,7100,5301,4197,3656,11596,6466,2433,down
67617,13054,4414,11870,2604,9938,5665,1256,down
77928,71586,17297,23400,2958,6114,9746,4033,down
16750122,17699,11050,16744790,5171,6372,7057,2733,down
12209,6921,15654,12097,3980,10223,7496,3929,down
10981,16763218,22727,14460,4724,10116,4585,4226,down
76275,25593,15207,6632,6616,19211,9303,7186,down
30158,16748345,6847,15643,6647,13116,1609,3062,down
57814,9888,15399,16758837,13712,13366,2498,2299,down
16752026,6384,4621,3367,8431,15278,5386,4507,down
83645,16745638,12216,7255,4455,7531,3828,6873,down
96616,16745577,12309,11526,8808,15858,5642,2881,down
16757318,77724,7704,12292,10316,7925,9517,7413,down
15249,7637,8707,235,7173,6632,5089,5036,down
31505,13052,5238,16177,5158,10865,2977,1039,down
16747262,23594,10734,19639,3745,5801,4448,1695,down
16776688,2181,17923,6571,3373,9594,14942,2799,down
16769718,12603,4289,29140,13413,9275,4087,1852,down
16775865,16746520,14009,20532,6825,22136,3331,2824,down
128737,37933,25102,20688,8092,7107,3764,3370,down
44300,135737,13226,18079,9831,8935,4457,2219,down
1792591,177061,32427,15721,20444,8009,5202,1526,down
16758172,31911,3834,1524,4891,10621,2216,3852,down
97645,25634,4875,3271,3799,1657,780,675,down
16768610,15930,5369,4299,1430,1992,1161,809,down
16753294,16745186,8888,18415,14701,6864,5242,2282,down
21024,23627,5796,1612,2992,5371,3799,833,down
75836,16768421,9548,4674,10375,11845,4420,2575,down
61644,27268,8973,9780,5753,4061,1180,920,down
16761199,16067,12718,13697,5682,4984,3820,2325,down
16775224,16755599,30250,25214,5082,6987,4201,4387,down
108828,149043,16760156,16765637,16745693,20222,30936,5787,down
1041901,16744861,16061,19998,9991,6469,7046,2409,down
16698,17980,1677,615,1457,978,1283,569,down
12877,16453,2496,16753922,19841,6644,16389,3867,down
1916842,108334,67374,27233,84605,16745513,21379,8678,down
149622,16755435,25047,5420,4216,1620,3122,413,down
49799,25194,8881,14738,2231,15482,3456,1414,down
267047,142217,19553,6285,21394,7538,2367,2711,down
157977,75210,9370,7407,3703,4391,1119,762,down
69177,13442,2842,5245,19369,11043,5761,2154,down
72829,23370,9234,16747157,8777,6799,4180,1882,down
16771528,14480,2487,15474,5510,9083,2365,1462,down
82169,19849,9555,13781,16448,11389,3067,2153,down
136081,16767426,29224,12253,11425,7411,4543,4151,down
53495,42220,5950,16750590,7422,9309,4968,1978,down
311037,118734,17079,8991,18660,10562,4212,2603,down
289544,41117,27458,27824,18063,11022,7714,2006,down
106045,29105,24559,9734,15272,9268,5416,2344,down
257534,16745346,1126,2765,2405,2050,207,848,down
110847,24235,2902,1297,3170,4170,1053,531,down
23828,25652,4725,9901,11644,8178,5285,751,down
35323,16755190,13280,16600,12598,10649,1608,772,down
1799,6450,10633,16745567,5828,8755,6326,2656,down
16753940,29380,16747707,15036,3106,7278,3991,1977,down
96597,22966,10175,12607,4803,8181,1661,1696,down
16759357,13587,19243,29633,17036,11001,2075,2435,down
86060,5663,12977,4520,2874,6283,5245,1269,down
17038,16650,983,3206,6178,7226,3099,1135,down
30164,18729,9282,16997,6268,7405,2401,1901,down
26492,16754293,7403,20935,3528,5048,1137,1170,down
11537,13258,4663,14115,4004,5667,1689,1577,down
16759233,9752,17712,5680,2674,7298,1863,942,down
93647,24842,406,16788,10283,9678,3679,2318,down
16749705,16252,5301,11795,6868,15028,13803,1319,down
18552,69192,16748755,14949,205,7092,5738,2179,down
16758905,31566,8612,18677,8285,9830,2715,1972,down
67137,16562,22492,16749867,5668,5678,7433,3973,down
159800,8842,14529,15390,3395,10698,3286,4095,down
16756110,25624,11720,2304,4179,4123,4030,8828,down
24380,16776671,7452,28869,8531,6302,2640,7114,down
16751453,31991,19267,15802,7736,6130,4546,1982,down
78538,17951,8758,1371,3124,7253,3209,2806,down
16774149,17430,16768459,24285,6154,13681,4072,3748,down
16771246,16763130,4482,6670,25914,7102,3496,1411,down
29118,4523,12158,27163,4925,9087,3186,5883,down
21838,16765314,16745042,11736,8791,3392,2280,2080,down
27295,14796,3363,19416,5357,13808,3050,2402,down
16759527,10275,17520,15194,18422,9547,3131,3683,down
95698,10289,8316,13536,8099,8658,6628,2510,down
512563,34551,16979,5836,3307,4908,2018,575,down
227554,23035,1988,1398,5002,2321,1156,498,down
16754892,16745893,3426,6442,7734,12058,5839,2871,down
16759556,8077,2973,7445,8784,8100,4820,676,down
32029,68622,8105,14834,10109,8884,2378,1512,down
34398,16748164,17348,8626,16748530,11121,12922,1782,down
404809,72922,25858,28544,5513,6104,6842,2159,down
22191,16757421,8455,24942,1091,4813,3671,1743,down
80535,32332,30441,7548,11175,7239,2251,1719,down
78491,21049,1670,3144,4689,8032,6441,2112,down
16767128,18660,5245,19287,6325,6066,4943,5120,down
16758594,66888,14345,11923,8954,5000,4416,1665,down
14669,16760693,27625,16757453,7644,12545,4126,1405,down
25276,13248,8612,17320,1025,14242,2528,2938,down
12997,6035,10575,17113,11272,18198,1907,2001,down
16772379,28030,27108,30691,8680,16473,6138,2013,down
16770875,16765465,8250,17364,16186,6195,4399,2589,down
